Reset,left_occupied,left_angle,left_offset,left_size,left_width,left_length,left_has_pillar,right_occupied,right_angle,right_offset,right_size,right_width,right_length,right_has_pillar,goal_lane_index,goal_position_x,goal_position_y,goal_heading,controlled_x,controlled_y,controlled_width,controlled_length,step,done,agent_angle_score,agent_angle_tier,agent_angle_deg
Reset 7906,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,"('b', 'c', 3)",13.75,-8.5,-1.5707963267948966,-4.604185917646874,0.0,2.0,4.8,18,True,37.037499353638054,beginner,11.481250323180975
Reset 7907,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,"('b', 'c', 0)",1.25,-8.75,-1.5707963267948966,-7.395378718224317,0.0,2.0,4.3,13,True,13.128476657057604,beginner,23.435761671471198
Reset 7908,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,"('b', 'c', 5)",20.75,-8.5,-1.5707963267948966,-9.753012405052184,0.0,2.0,4.3,23,True,27.881662223623188,beginner,16.059168888188406
Reset 7909,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,"('b', 'c', 0)",1.25,-8.75,-1.5707963267948966,-4.231661785247187,0.0,2.0,4.3,11,True,15.548273688652635,beginner,22.225863155673682
Reset 7910,1,-0.0010210094416243098,0.0,0,2.0,4.3,0,1,0.10451127096347568,0.0,0,2.0,4.3,0,"('b', 'c', 4)",17.25,-8.5,-1.5707963267948966,-6.615826966089996,0.0,2.0,4.8,20,True,31.308837107464033,beginner,14.345581446267984
Reset 7911,0,0.0,0.0,0,0.0,0.0,0,1,-0.16637963280724355,0.0,1,2.0,4.8,0,"('b', 'c', 6)",13.75,8.75,1.5707963267948966,-2.102198189488533,0.0,2.0,4.3,17,True,36.40903309923184,beginner,11.79548345038408
Reset 7912,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,"('a', 'b', 2)",8.25,8.75,1.5707963267948966,-7.251640164976797,0.0,2.0,4.3,17,True,38.96617948428954,beginner,10.51691025785523
Reset 7913,1,-0.034554251879154396,0.0,1,2.0,4.8,0,1,-0.016144311265218425,0.0,0,2.0,4.3,0,"('b', 'c', 6)",13.75,8.75,1.5707963267948966,-6.019825115189581,0.0,2.0,4.3,19,True,35.451841190379426,beginner,12.274079404810285
Reset 7914,0,0.0,0.0,0,0.0,0.0,0,1,-0.057820687338949295,0.0,0,2.0,4.3,0,"('b', 'c', 6)",13.75,8.75,1.5707963267948966,-9.258787952995231,0.0,2.0,4.8,21,True,43.274458395287695,intermediate,9.590692700589038
Reset 7915,0,0.0,0.0,0,0.0,0.0,0,1,0.08576606694084155,0.0,1,2.0,4.8,0,"('b', 'c', 7)",17.25,8.75,1.5707963267948966,-6.382949493541871,0.0,2.0,4.8,21,True,37.72001295357549,beginner,11.139993523212254
Reset 7916,0,0.0,0.0,0,0.0,0.0,0,1,-0.012315102774604902,0.0,0,2.0,4.3,0,"('b', 'c', 1)",4.75,-8.75,-1.5707963267948966,-5.403691869720518,0.0,2.0,4.3,14,True,30.774051128056662,beginner,14.612974435971669
Reset 7917,0,0.0,0.0,0,0.0,0.0,0,1,-0.13484477877558732,0.0,1,2.0,4.8,0,"('b', 'c', 7)",17.25,8.75,1.5707963267948966,-5.248869895670496,0.0,2.0,4.3,21,True,38.04798958695842,beginner,10.97600520652079
Reset 7918,1,-0.15698853112858746,0.0,1,2.0,4.8,0,0,0.0,0.0,0,0.0,0.0,0,"('b', 'c', 3)",13.75,-8.5,-1.5707963267948966,-5.810160846878297,0.0,2.0,4.8,18,True,29.66822721216716,beginner,15.16588639391642
Reset 7919,0,0.0,0.0,0,0.0,0.0,0,1,-0.1479027724498072,0.0,0,2.0,4.3,0,"('b', 'c', 3)",13.75,-8.5,-1.5707963267948966,-2.7613239440803836,0.0,2.0,4.8,17,True,35.851364985682295,beginner,12.074317507158854
Reset 7920,1,-0.1650512487603084,0.0,1,2.0,4.8,0,0,0.0,0.0,0,0.0,0.0,0,"('b', 'c', 3)",13.75,-8.5,-1.5707963267948966,-7.743789195157644,0.0,2.0,4.8,19,True,29.57167838832802,beginner,15.21416080583599
Reset 7921,1,0.011222793872117887,0.0,1,2.0,4.8,0,0,0.0,0.0,0,0.0,0.0,0,"('b', 'c', 3)",13.75,-8.5,-1.5707963267948966,-6.127572538280712,0.0,2.0,4.8,18,True,27.434782967514145,beginner,16.282608516242927
Reset 7922,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,"('b', 'c', 2)",8.25,-8.75,-1.5707963267948966,-2.139222964529157,0.0,2.0,4.8,14,True,32.71017584143541,beginner,13.644912079282296
Reset 7923,1,0.010848787084208222,0.0,0,2.0,4.3,0,0,0.0,0.0,0,0.0,0.0,0,"('b', 'c', 3)",13.75,-8.5,-1.5707963267948966,-5.403486157679685,0.0,2.0,4.8,18,True,31.717656020030546,beginner,14.141171989984727
Reset 7924,1,0.12500961116403153,0.0,0,2.0,4.3,0,1,0.16458675998333816,0.0,0,2.0,4.3,0,"('a', 'b', 2)",8.25,8.75,1.5707963267948966,-2.777793807192003,0.0,2.0,4.8,15,True,35.355665919096296,beginner,12.32216704045185
Reset 7925,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,"('b', 'c', 7)",17.25,8.75,1.5707963267948966,-8.502908745154414,0.0,2.0,4.3,22,True,36.11653051680994,beginner,11.941734741595031
Reset 7926,1,-0.0839019554870799,0.0,1,2.0,4.8,0,0,0.0,0.0,0,0.0,0.0,0,"('a', 'b', 1)",4.75,8.75,1.5707963267948966,-5.237670568237032,0.0,2.0,4.8,15,True,34.78276264446852,beginner,12.608618677765742
Reset 7927,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,"('b', 'c', 2)",8.25,-8.75,-1.5707963267948966,-5.5547004422044175,0.0,2.0,4.3,16,True,35.552268885397474,beginner,12.223865557301263
Reset 7928,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,"('b', 'c', 6)",13.75,8.75,1.5707963267948966,-3.1002702695934987,0.0,2.0,4.3,18,True,38.32429901751926,beginner,10.83785049124037
Reset 7929,1,-0.12916891510775663,0.0,1,2.0,4.8,0,1,0.01704138639533581,0.0,0,2.0,4.3,0,"('b', 'c', 3)",13.75,-8.5,-1.5707963267948966,-3.043237514160494,0.0,2.0,4.8,17,True,34.82523212376667,beginner,12.587383938116664
Reset 7930,0,0.0,0.0,0,0.0,0.0,0,1,0.16346846263972004,0.0,1,2.0,4.8,0,"('b', 'c', 1)",4.75,-8.75,-1.5707963267948966,-7.754932502368759,0.0,2.0,4.8,15,True,24.044967981847172,beginner,17.977516009076414
Reset 7931,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,"('b', 'c', 5)",20.75,-8.5,-1.5707963267948966,-2.0034298482848474,0.0,2.0,4.3,20,True,43.280073241970854,intermediate,9.589990844753643
Reset 7932,1,-0.09371212170406018,0.0,0,2.0,4.3,0,0,0.0,0.0,0,0.0,0.0,0,"('b', 'c', 5)",20.75,-8.5,-1.5707963267948966,-9.734200669113875,0.0,2.0,4.8,23,True,27.874093166448063,beginner,16.06295341677597
Reset 7933,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,"('a', 'b', 1)",4.75,8.75,1.5707963267948966,-6.863059759427559,0.0,2.0,4.3,15,True,51.84756954012266,intermediate,8.519053807484667
Reset 7934,0,0.0,0.0,0,0.0,0.0,0,1,-0.016293302387755837,0.0,0,2.0,4.3,0,"('b', 'c', 2)",8.25,-8.75,-1.5707963267948966,-2.363480901541805,0.0,2.0,4.3,14,True,31.209278482108306,beginner,14.395360758945847
Reset 7935,1,0.00972455287468299,0.0,0,2.0,4.3,0,0,0.0,0.0,0,0.0,0.0,0,"('b', 'c', 6)",13.75,8.75,1.5707963267948966,-3.216104037307031,0.0,2.0,4.3,18,True,38.69927294086884,beginner,10.650363529565583
Reset 7936,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,"('b', 'c', 3)",13.75,-8.5,-1.5707963267948966,-9.892050156007512,0.0,2.0,4.3,20,True,33.552421846899264,beginner,13.223789076550366
Reset 7937,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,"('b', 'c', 2)",8.25,-8.75,-1.5707963267948966,-8.135583078393328,0.0,2.0,4.8,17,True,32.61008357886189,beginner,13.694958210569055
Reset 7938,1,0.07829909658882839,0.0,0,2.0,4.3,0,0,0.0,0.0,0,0.0,0.0,0,"('b', 'c', 2)",8.25,-8.75,-1.5707963267948966,-8.96901229664427,0.0,2.0,4.8,18,True,36.61323993146698,beginner,11.69338003426651
Reset 7939,1,-0.0762527867736651,0.0,1,2.0,4.8,0,0,0.0,0.0,0,0.0,0.0,0,"('a', 'b', 1)",4.75,8.75,1.5707963267948966,-4.438596523795539,0.0,2.0,4.3,13,True,27.132871963412725,beginner,16.433564018293637
Reset 7940,0,0.0,0.0,0,0.0,0.0,0,1,-0.016272989065023502,0.0,0,2.0,4.3,0,"('b', 'c', 4)",17.25,-8.5,-1.5707963267948966,-3.132009898988091,0.0,2.0,4.8,19,True,39.920831759947696,beginner,10.039584120026152
Reset 7941,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,"('b', 'c', 5)",20.75,-8.5,-1.5707963267948966,-8.0920792770312,0.0,2.0,4.8,23,True,38.2927751682943,beginner,10.853612415852849
